,datePosted,title,price,address,latitude,longitude,description,rooms,bathrooms,pets,furnished,dateScraped
1412740342,10 février 2019 14:18,Neuf Studio -Condo Appartements- Ahuntsic-Cartierville-Montréal,1110.0,"500 rue Sauvé Est, Montreal, QC, H3L 2G2",45.5511578,-73.6555719,"Nouveaux Studio &amp; Condo Appartements 1, 2, 3 chambres &agrave; louer-Ahuntsic-Cartierville-Montreal-L'Acadie, Metro Sauv&eacute;-March&eacute; Central- Rockland-Chabanel-Condos locatifs-New Condo Apartments for rent- Rental projectALDEA Appartements est un nouveau projet locatif de 5 &eacute;tages de 83 appartements condo moderne de Studio, 1, 2 et 3 chambres &agrave; louer",1 1/2,1 salle de bain,Oui,Non,Mon_Feb_11_221220_2019
1414663827,10 février 2019 21:24,Condo de luxe au coeur du centre ville,1850.0,"1050 Drummond, Montréal H3B 0G3 QC",45.496727,-73.5705672,"Condo de haute gamme dans luxueux immeuble de construction r&eacute;cente (2017) - situ&eacute; au 29e &eacute;tage de L'AVENUE avec vue imprenable du sud ouest - grande luminosit&eacute; naturelle - finition de qualit&eacute;, &eacute;lectrom&eacute;nagers modernes inclus et plafonds de 9 pieds - &agrave; deux pas du M&eacute;tro - parfait pour professionnel - piscine int&eacu",3 1/2,1 salle de bain,Non,Non,Mon_Feb_11_221221_2019
1413716021,5 février 2019 21:09,"Beau, Lumineux et Spacieux 4 1/2 sur le Plateau Mont-Royal",1560.0,"2185 Boulevard Saint-Joseph Est, Montréal, QC H2H 1E9, Canada",45.538575,-73.5766849,"(English will follow) Cession de bail pour Mai. Rez de chauss&eacute;e. Beau, Lumineux et Spacieux 4 1/2 sur le Plateau Mont-Royal Inclus : po&ecirc;le, four micro-ondes, lave vaisselle, laveuse s&eacute;cheuse, chauffage, hydro Cuisine aire ouverte, salon spacieux et lumineux avec cachet mur apparent. Deux chambres : une grande tr&egrave;s lumineuse et une petite. Id&eacute;al",4 1/2,1 salle de bain,Oui,Non,Mon_Feb_11_221222_2019
1400449353,10 février 2019 22:48,Superbe très grand 4 1/2 meublé et rénové à louer - Avec wifi,1850.0,"2529 Avenue Gascon, Montréal, QC H2K 2W6, Canada",45.5366099,-73.5586059,"Superbe grand appartement 2 chambres, r&eacute;nov&eacute; 2016 sur 2 &eacute;tages, enti&egrave;rement meubl&eacute;, parfait pour clients corporatifs, expatri&eacute;s, couple ou jeune famille. Internet WiFi inclus. - Grande terrasse priv&eacute;e avec BBQ et meubles de patio, donnant sur ruelle verte gazonn&eacute;e tr&egrave;s tranquille. - Enti&egrave;rement meubl&eacute;,",4 1/2,"1,5 salle de bain",Non,Oui,Mon_Feb_11_221245_2019
1406395684,10 février 2019 17:01,"POUR 1 FEVRIER, 2 1/2 , CDN, MÉTRO,HEC, UDM, VERY COMPTHY",715.0,"4825 COTE STE-CATHERINE, Montreal, QC, H3W 1M4",45.4920734,-73.6336973,"2 1/2 &agrave; louer Disponible maintenant &agrave; partir de 715$/mois/available now starting at 715$/month !!! Inclus/Including : -Eau chaude et Chauffage/Hot water and heating -Cuisini&egrave;re et R&eacute;frig&eacute;rateur/Fridge and stove Stations de M&Eacute;TRO &agrave; proximit&eacute;/Metro station : C&ocirc;te Ste-CatherineTout pr&egrave;s de grands parcs, des centr",2 1/2,1 salle de bain,Non,Non,Mon_Feb_11_221246_2019
1412208995,28 janvier 2019 16:38,3 1/2 À LOUER CHAUFFÉ -ÉCLAIRÉ-CABLÉ-MEUBLÉ,800.0,"3425 DE LORIMIER, H2K 3X5, MONTRÉAL, QC, Canada",45.5313994,-73.5639559,"Tr&egrave;s beau 3 1/2 situ&eacute; au troisi&egrave;me &eacute;tage, chauff&eacute;, &eacute;clair&eacute;, c&acirc;bl&eacute;, meubl&eacute;. situ&eacute; sur le Plateau Mont-Royal pr&egrave;s de la rue Sherbrooke et de toutes commodit&eacute;s. 800.00$ ENQU&Ecirc;TE DE CR&Eacute;DIT OBLIGATOIRE.",3 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_221248_2019
1414901817,12 février 2019 02:13,"Très grand 4 1/2 avec bureau, ensoleillé, boul. de Maisonneuve",1195.0,"1452 Boul de Maisonneuve E, Montréal, QC H2L 2A9, Canada",45.521265,-73.5554906,"Tr&egrave;s grand 4 1/2 avec bureau, ensoleill&eacute;, beaucoup de cachet. Plafond 12 pieds, vitraux dans fen&ecirc;tre du balcon avant et terrasse arri&egrave;re. Enqu&ecirc;te de cr&eacute;dit obligatoire. SVP laisser votre num&eacute;ro de t&eacute;l&eacute;phone ou plus d'info ou la prise de rendez-vous...PAS DE RETOUR DE MESSAGE SI VOUS LAISSER PAS VOTRE NUM&Eacute;RO DE ",4 1/2,1 salle de bain,,Non,Mon_Feb_11_221305_2019
1414901793,12 février 2019 02:13,Recherché : Je suis a la recherche d'un qppartement,,"Laporte Ave, Montreal, QC H4C 2P7, Canada",45.481438,-73.58781,"salut, je suis un jeune homme de 25 ans et je suis a la recherche d'un appartement studio a 3 1/2 pour environ 550$ a 650$ le prix est negociable et toute inclus svp! si possible pres d'un metro a montreal veuillez me conctater via kijiji je repond vite merci!",1 1/2,1 salle de bain,,Non,Mon_Feb_11_221306_2019
1414901609,12 février 2019 02:11,Centre-ville Métro St-Laurent / CHUM / Quartier chinois,1225.0,"65 René-Lévesque, est, #401, H2X 1N2, Montréal, QC",45.5098092,-73.5610897,"Appartement (56mc, 600 pc) situ&eacute; au 4&egrave; &eacute;tage du 65 est, boul. Ren&eacute;-L&eacute;vesque, Montr&eacute;al, H2X 1N2, dans un immeuble patrimonial restaur&eacute; en 2005, tout pr&egrave;s de deux stations de m&eacute;tro (St-Laurent et Place-des-arts), du CHUM, du Quartier chinois et du Quartier des spectacles. Ascenseurs; chauffage et climatisation inclus;",3 1/2,1 salle de bain,Non,Oui,Mon_Feb_11_221307_2019
1414901408,12 février 2019 02:10,4 1/2 — 3ieme étage ,715.0,"10995 gervais H1G4J3, Canada",45.603139899999995,-73.6151934,"Tr&egrave;s grande 4 1/2 au 3ieme &eacute;tage d’une immeuble de 7 unit&eacute; avec entr&eacute;e &Agrave; cl&eacute;. Very spacious 4 1/2 on the 3rd floor of a 7 unit building with keyed entrance. Apartment int&eacute;rieur, (consomme peu de chauffage), entr&eacute;e laveuse/s&eacute;cheuse dans la salle de bains, vrai bois franc dans les chambres, c&eacute;ramique dans la cu",4 1/2,1 salle de bain,,Non,Mon_Feb_11_221308_2019
1414901342,12 février 2019 02:09,"8 1/2 Ahuntsic, Rez-de-chaussé et sous-sol",,"10 375 Georges-Baril, Montréal H2C 2N1 QC",45.5589021,-73.6602187,"Superbe 8 1/2 &agrave; louer &agrave; deux pas de la Promenade Fleury &Agrave; aire ouverte Sur deux &eacute;tages (Rez-de-Chauss&eacute; et sous-sol) &Agrave; 850m du M&eacute;tro Henri-Bourassa Acc&egrave;s &agrave; la cour arri&egrave;re. Air climatis&eacute; Stationnement avec vignette disponible 2 Chambres de bain Semi-Meubl&eacute; (Po&ecirc;le, Frigidaire, laveuse, s&eac",6 1/2 et plus,2 salles de bain,,Non,Mon_Feb_11_221309_2019
1414900992,12 février 2019 02:07,Super 3 1/2 style condos à 10min du centre-ville,975.0,"2537 Rue Jolicoeur, Montréal, QC H4E 1Y4, Canada",45.4567232,-73.5971058,*RECHERCHE PERSONNES S&Eacute;RIEUSES AVEC EMPLOI STABLE ET BON CR&Eacute;DIT* Disponible d&egrave;s maintenant 1 chambre ferm&eacute;e Superbes unit&eacute;s condos fra&icirc;chement r&eacute;nov&eacute;s &agrave; 10min du centre-ville. &Agrave; quelques minutes &agrave; pied du m&eacute;tro et &agrave; un pas du Canal Lachine. Quartier paisible pr&egrave;s du Parc Angrignon. ,3 1/2,1 salle de bain,Non,Non,Mon_Feb_11_221311_2019
